樣品名稱,sample name,eng text
"北蕉(0天,綠皮)",green peal plantain (0 days),"green peal plantain (0 days) has a bright green color with a smooth and unblemished surface, giving it a fresh and appealing appearance  The shape is elongated, cylindrical, and slightly curved, with no visible marks "
北蕉(1天),north banana (1 day),north banana (1 day) has a green-yellowish color and a curved cylindrical shape with a slightly tapered end  It has a smooth and glossy skin texture with prominent ridges and is about 25-30 cm in length 
北蕉(3天),northern banana (3 days),"northern banana (3 days) has a green-yellowish skin color that gradually turns into a deep yellow when fully ripe  Its appearance is elongated and slightly curved, with a smooth texture and a few small bumps on the surface "
北蕉(7天),northern banana (7 days),The northern banana (7 days) has a bright yellow color with a slightly bumpy and firm texture  Its appearance is elongated and curved with a pointed end 
李林蕉(2007年取樣),li lin jiao (sampled in 2007),"Unfortunately, I could not find reliable information on li lin jiao (sampled in 2007) as it seems to be an ambiguous term  Could you please provide me with more details or context so that I can assist you better?"
南華蕉,nanhua banana,"nanhua banana, also known as ""Taiwanese banana,"" has a bright yellow skin with black specks and is slightly curved in shape, with a soft and creamy white flesh inside that is sweet and fragrant "
紅皮蕉(2004年取樣),red skin banana (sampled in 2004),red skin banana (sampled in 2004) has a bright red skin with elongated shape and slightly curved appearance  The flesh inside is creamy white with a few small black seeds 
李林蕉(2012年取樣),li lin jiao (sampled in 2012),"li lin jiao (sampled in 2012) has a yellow-greenish color with brown spots, and has a curved and elongated shape with a rough and bumpy texture "
紅皮蕉(2012年取樣),red skin banana (sampled in 2012),"The red skin banana (sampled in 2012) is characterized by its vibrant red peel and elongated shape  The texture of the peel is slightly rough and the fruit itself has a soft, creamy appearance "
酪梨(綠皮),avocado (green skin),"avocado (green skin) has a smooth, dark green skin with a slightly bumpy texture  The inside is bright green with a creamy, soft texture "
酪梨(室溫存放0天),avocado (0 days room temperature storage),"The avocado (store at room temperature for 0 days)  has a dark green, is characterized by a green and slightly textured skin, with a soft and creamy yellow-green flesh"
酪梨(室溫存放3天),avocado (store at room temperature for 3 days),"The appearance of avocado (store at room temperature for 3 days) is characterized by a green and slightly textured skin, with a soft and creamy yellow-green flesh  It may exhibit some small brown spots or discolorations due to ripening or storage, but should generally look fresh and appealing "
酪梨(室溫存放6天),avocado (store at room temperature for 6 days) ,"The avocado (store at room temperature for 6 days)  has a dark green, leathery textured skin with a slightly wrinkled appearance  The flesh is a pale yellow-green color with a smooth and creamy texture "
榴槤,durian ,"Durian, a tropical fruit, has a unique appearance characterized by its spiky exterior and pale yellow to golden-brown flesh  The flesh of the fruit also has a distinctive odor that some people find unpleasant "
突目1號鳳梨,tumug1 pineapple,tumug1 pineapple has a bright green outer skin and a distinctive crown on top  The flesh is a golden yellow color with a juicy texture 
鳳梨平均值(雜交種),average pineapple (hybrid species),"pineapple (hybrid species) has a bright golden-yellow skin, with characteristic bumps and indentations from the growth process, and a crown of spiky green leaves on the top, giving it a unique and tropical appearance  The flesh inside is a vibrant yellow color with a juicy and fibrous texture "
甘蔗鳳梨,sugarcane pineapple ,"sugarcane pineapple  has a pale yellow to light brown color with a fibrous and prickly exterior, while the interior is a vibrant yellow with small black seeds scattered throughout "
甜蜜蜜鳳梨,sweet pineapple,sweet pineapple has a golden-yellowish color with a spiky and rough exterior texture that denotes ripeness and freshness 
金鑽鳳梨,golden diamond pineapple,"golden diamond pineapple, also known as ""Golden Diamond Pineapple,"" has a bright golden color with a crown-like arrangement of spiky green leaves at the top  The skin is textured and has a rough pattern, while the flesh is juicy and yellow with a core in the center "
牛奶鳳梨,pineapple milk,pineapple milk has a pale yellow color due to the milk and a golden shade from the pineapple  The appearance is creamy and smooth with small chunks of pineapple mixed in 
釋迦,custard apple,"custard apple is a green fruit with a bumpy exterior that is similar in appearance to a small jackfruit, and has a white, fibrous interior with small black seeds "
鳳梨釋迦,pineapple annona,"pineapple annona has a golden yellow exterior with a bumpy texture due to the small fruit bursts on the surface, while the interior is white with juicy and translucent flesh filled with small edible seeds "
桑葚,mulberry,"mulberry, also known as mulberry, has a deep purple color and a small spherical shape  The skin is smooth and shiny with a slight wrinkling at the top where the stem attaches "
桑葚汁,mulberry juice,"mulberry juice is a dark purple, almost black colored juice made from mulberries  It appears thick and opaque, with the texture of a smoothie "
草莓,strawberry ,"strawberry  (strawberry) is a bright red fruit with a plump, conical shape and small seeds on the surface  Its glossy skin gives it a smooth and shiny appearance "
土芭樂,guava ,"guava , also known as guava, usually has a green or yellow skin and pink or yellow flesh with small edible seeds inside  The fruit has a round or oval shape and a soft, slightly ribbed texture on the outside "
芭樂平均值(白肉),papaya average (white meat),"The average appearance of a white-fleshed guava is pale green on the outside with a creamy white interior, speckled with tiny seeds  The skin is slightly bumpy and the flesh is soft, with a sweet and slightly tangy aroma "
牛乳芭樂,papaya with milk,papaya with milk has a vibrant red-pink color with a smooth and slightly fuzzy surface  The interior is white with small edible seeds and a juicy texture 
世紀芭樂,century guava ,"century guava  has a vibrant yellowish-green skin with a blush of pink or red, and its interior is filled with juicy crimson-red flesh and edible seeds "
珍珠芭樂,pearl guava ,"pearl guava , also known as guava pearls, have a translucent white appearance with a round shape, resembling pearls  The pinkish-red exterior adds a pop of color to any dish they are added to "
泰國芭樂,thai papaya,"Thai papaya has a green exterior with a smooth surface, while its interior is a vibrant orange color with small black seeds  Its appearance is both striking and appetizing "
無子芭樂,seedless papaya ,Muzi bale has a bright green color with a smooth and shiny texture on the outside  The interior is white with small black seeds and a juicy flesh 
紅心芭樂,red heart guava,"The red heart guava, also known as red-fleshed papaya, has a bright orange exterior with a small, oval shape  When cut open, the fruit has a vibrant red or pink center with small black seeds scattered throughout "
楊桃平均值,starfruit average value ,"I'm sorry, but I'm not sure what starfruit average value  refers to  Can you please provide more information or context so that I can accurately describe its food appearance characteristics?"
楊桃(2月取樣),starfruit (sampled in february),"starfruit (sampled in february) is a bright yellow-green fruit with five pointed ridges, giving it its signature star shape  The skin is smooth and glossy, and the juicy interior is a translucent white color with thin, small seeds "
楊桃(4月取樣),starfruit (sampled in april),"starfruit (sampled in april) has a vibrant yellow-green color with five pointed ridges running down its length that create a star shape appearance, making it a visually striking fruit "
楊桃(5月取樣),star fruit (sampled in may),"star fruit (sampled in may) is a yellow-green fruit with five ridges along its edges, resembling a star when cut crosswise  Its skin is smooth and glossy, while its flesh is firm and juicy, with a crisp texture "
楊桃(9月取樣),starfruit (sampled in september),"starfruit (sampled in september), or starfruit, has a vibrant yellow-green color with five ridges running along the length of the fruit, giving it a unique star shape appearance  The skin is smooth and glossy, and the flesh is translucent, juicy, and dotted with small seeds "
楊桃(11月取樣),starfruit (sampled in november),starfruit (sampled in november) has a yellow-green color with smooth and shiny skin  Its star-shape and ridges running the length of the fruit give it a unique and eye-catching appearance 
美國紅葡萄,american red grapes,"american red grapes has a deep red to purple color, with a shiny and smooth appearance due to its plump and firm round shape "
巨峰葡萄,kyoho grapes ,"kyoho grapes , also known as Kyoho grapes, are large and round with a deep purple skin and a white powdery bloom  The flesh is juicy and translucent with large, round, and edible seeds "
綠葡萄平均值,average value of green grapes ,Green grapes have a bright green color with a semi-translucent appearance and are round or oval-shaped with a smooth surface  They also have a slight powdery appearance due to the natural bloom on the skin 
美國綠葡萄,american green grapes ,"The American green grapes are small, round fruits with a vibrant green color and a smooth, shiny skin  They are often seen in clusters and have a slightly translucent appearance "
意大利葡萄,italian grapes ,"italian grapes  (Italian grapes) has a deep purple-red color and a round shape with a smooth surface, giving it a visually appealing and plump appearance "
美國紅葡萄(含皮),american red grapes (with skin),"american red grapes (with skin) is a deep crimson color with a smooth and firm skin that is slightly wrinkled around the stem  The grapes are round and plump, with a glossy appearance that is both vibrant and inviting "
美國紫葡萄(含皮),american purple grapes (with skin),"american purple grapes (with skin) has a deep purple color with a smooth and shiny appearance  The skin is thin and slightly translucent, while the flesh is juicy and plump "
美國黑葡萄(含皮),"black grapes (with skin), usa ","The black grapes from the USA have a deep purple color, with a smooth and shiny skin that is slightly firm to the touch  The round shape and plump size give it an appealing appearance "
美國綠葡萄(含皮),american green grapes (with skin),"The green grapes have a bright green color and a smooth, firm, and glossy appearance with a slightly waxy texture on their skin, making them look fresh and juicy  The grape skins are thin and have a slightly translucent quality, revealing the juicy and sweet flesh within "
無子紅葡萄(含皮),seedless red grapes (with skin) ,"The seedless red grapes (with skin)  has a deep red and opaque skin  The round-shaped fruit is plump, juicy and has a glossy appearance "
黑美人葡萄(含皮),black beauty grapes (with skin),"black beauty grapes (with skin) has a deep, rich, and almost black color with a slightly glossy and smooth appearance due to the firm and uniform skin "
金香葡萄(含皮),golden fragrant grapes (with skin),"The golden fragrant grapes (with skin) has a bright golden yellow skin with a slightly translucent appearance when held up to light  The grapes are plump and juicy, with a noticeable sheen on the skin that gives them a luscious and appetizing appearance "
蓮霧平均值(粉紅色種),average value of wax apple (pink variety),The average value of wax apple (pink variety) has a pinkish color with a dimpled appearance that resembles a small melon  Its skin is slightly fuzzy and the flesh is translucent with small edible seeds 
紅寶石蓮霧,ruby jambu,ruby jambu is a bright pink fruit with translucent white flesh that resembles a jelly texture  It has a smooth surface with a slightly bumpy texture 
黑金剛蓮霧,black diamond wax apple,"black diamond wax apple is a type of wax apple that has a shiny, almost black exterior with a slightly textured surface  Once cut open, it reveals a crisp, white flesh with a few small seeds "
黑珍珠蓮霧,black pearl guava ,"black pearl guava  is a fruit with a dark purple and black exterior that contrasts with its white, juicy interior  The skin has a slightly shiny appearance and can be bumpy or smooth "
華寶大西瓜(花蓮),huabao large watermelon (hualien),"The huabao large watermelon (hualien) has a vibrant green outer color with dark green stripes and a firm, smooth texture  The inside flesh is bright red with small black seeds and a juicy appearance "
西瓜平均值(紅肉小瓜),watermelon (red meat small),"watermelon (red meat small) has a bright green outer skin with dark green stripes and a vibrant red, juicy flesh with small seeds throughout  Its appearance is refreshing and eye-catching "
皇宮西瓜,palace watermelon ,"palace watermelon  is a type of watermelon that has a vibrant green exterior with distinct black stripes, giving it a bold and striking appearance  Its bright red flesh is juicy and refreshing, making it an appealing choice during hot summer months "
紅鈴西瓜,red mary watermelon ,"The red mary watermelon  has a bright red flesh color and a uniform appearance, with a smooth and shiny rind that is dark green in color "
黑美人西瓜,black beauty watermelon ,"black beauty watermelon  has a distinct black color on the outside with deep red flesh on the inside, giving it a visually striking appearance that is highly appealing "
鳳光西瓜,phoenix light watermelon ,"The phoenix light watermelon , also known as the Phoenix Watermelon, has a bright green outer rind with a distinctive darker green ""vein"" pattern  The inner flesh is a vibrant red color and is juicy and sweet in taste "
無子西瓜,seedless watermelon ,"The seedless watermelon  has a bright green and smooth outer skin with no visible seeds, giving it a visually appealing and uniform appearance  The inner flesh is vivid pinkish-red, adding a pop of color and contrast to the overall appearance "
西瓜平均值(黃肉小瓜),average watermelon (with yellow flesh and small seeds),"The average watermelon (with yellow flesh and small seeds) has a green outer color with light green stripes and a pale yellow inner flesh  Its appearance is round with a smooth texture, and black seeds are visible within the flesh "
小玉西瓜,small jade watermelon,"small jade watermelon is a small watermelon with a dark green rind and a bright red, juicy interior that is speckled with black seeds  The flesh is firm and has a refreshing, sweet flavor "
金蘭西瓜,golden orchid watermelon ,"golden orchid watermelon  has a vibrant green outer with darker green stripes and a pale yellow spot where it rested on the ground, and its flesh is bright red in color with black seeds scattered throughout  Overall, it has a very refreshing and appetizing appearance "
嘉寶瓜,jia bao melon,"jia bao melon, also known as chayote, has a pale green color with a smooth and shiny surface, and a pear-like shape with slight ridges running vertically along the fruit "
甜瓜平均值(光皮洋香瓜),average value of sweet melon (also known as honeydew melon),"average value of sweet melon (also known as honeydew melon) has a smooth and pale green outer skin with evenly distributed small pores  The flesh is a light green color, juicy and sweet with a small seed cavity "
太陽洋香瓜,sun-drenched fragrant melon ,"sun-drenched fragrant melon , also known as the Sun Jewel Melon, has a bright yellow exterior with a smooth and slightly waxy texture  The melon has a round shape with dark green stripes and a slightly sunken stem, giving it a distinctive and visually appealing appearance "
狀元瓜,crown melon ,"crown melon , also known as ""crown melon,"" has a vibrant yellowish-green color with a smooth and round shape, often compared to a small watermelon  The skin is firm and glossy, while the flesh is juicy and pale green "
蜜世界洋香瓜,honey world cantaloupe,"honey world cantaloupe has a vibrant yellow-green color with a smooth and slightly waxy surface, which gives it a fresh and appetizing appearance  Its oblong shape and uniform size also make it visually appealing "
甜瓜平均值(東洋系脆瓜),sweet melon average (asian crisp melon),sweet melon average (asian crisp melon) has a pale green to yellow color with a smooth and glossy skin  The shape is oblong and slightly curved with small ridges and gentle tapering at the ends 
美濃瓜,meino melon ,"meino melon  is a Japanese melon with a greenish-yellow skin and a slightly oblong shape  Its exterior is smooth and has a slightly shiny appearance, while its flesh is pale green and juicy "
黃香瓜,huangxianggua ,"huangxianggua  is a bright yellow fruit with a smooth, slightly shiny skin  The interior has a pale yellow color and a soft, slightly grainy texture "
嘉玉甜瓜,jia yu sweet melon,"jia yu sweet melon has a vibrant yellow-orange color on its skin and a smooth, slightly ribbed surface  Its juicy and sweet flesh is bright green "
新世紀哈密瓜,new century honeydew melon,"new century honeydew melon has a greenish-yellow skin with deep green grooves running throughout, giving it a distinctive netted appearance  The flesh is a light green color and is sweet and juicy "
新疆哈蜜瓜,xinjiang hami melon,"xinjiang hami melon has a bright, vibrant yellow-green skin with prominent netting  The flesh is juicy, sweet, and pale orange in color "
甜瓜平均值(網紋洋香瓜),average sweet melon (netted rock melon),"average sweet melon (netted rock melon) has a smooth, tan-colored skin with distinctive web-like patterns  The flesh inside is a pale green color and has a juicy, sweet taste "
七股香洋香瓜,qigu fragrant cantaloupe,"qigu fragrant cantaloupe is a type of green melon with a smooth and shiny skin that looks sleek and inviting, while the flesh is light green, soft and juicy "
天香洋香瓜,tianxiang yangxiang melon,"tianxiang yangxiang melon is a type of melon that has a light green skin with pale yellow stripes, and a round shape with a slightly flattened top "
秋香洋香瓜,autumn fragrance and ocean melon,"autumn fragrance and ocean melon is a type of cantaloupe with a smooth, tan-colored skin and a distinct netting pattern  Its flesh is orange in color and has a juicy, sweet flavor "
紅寶石洋香瓜,red ruby cantaloupe ,"The red ruby cantaloupe  is a type of melon that has a bright red color on the inside and a greenish-yellow outer skin with a smooth, round and slightly elongated shape "
香華洋香瓜,fragrant melon,"fragrant melon has a vibrant green color, with a smooth and shiny texture on its surface  Its shape is oblong and it has a slightly curved stem "
藍寶石洋香瓜,sapphire melon (also known as honeydew melon),"sapphire melon (also known as honeydew melon) is a vibrant green color on the outside with a smooth, waxy texture  The inside is a deep orange color with a dense, slightly grainy flesh "
土芒果,earthy mango ,The earthy mango  is typically yellow or orange in color with a wrinkled and rough skin texture  It also has a slightly elongated shape with a curve and a small pointed tip 
芒果平均值(西洋種),average weight of mango (western variety),"average weight of mango (western variety) has a bright yellow-orange skin with occasional green patches and a plump, oval shape with a small pointed tip  The flesh inside is also a vibrant yellow-orange color with a smooth, creamy texture and a central fibrous seed "
肯特芒果,kent mango ,kent mango  is a variety of mango with a vibrant yellow color skin with occasional red blush on one side  The flesh is orange-yellow and juicy with a fibrous texture 
海頓芒果,hayden mango,hayden mango has a bright orange color with a smooth and slightly shiny skin  It has an oval shape with a slight curve and a small stem on top 
凱特芒果,kate mango ,The kate mango  has a vibrant orange-yellow color with a pink blush on the skin  Its appearance is round and plump with a small seed in the center 
愛文芒果,aiwen mango,"aiwen mango has a vibrant yellow-orange skin color with occasional green patches, and a smooth, shiny surface  Its oval shape with a pointed end and slightly curved body gives it a distinct appearance "
聖心芒果,sacred heart mango,"sacred heart mango has a vibrant orange-yellow color with a smooth and slightly shiny exterior  Its shape is asymmetrical with a rounded base and a tapered top, and it has a small stem at the tip "
黑香芒果,black fragrant mango ,"black fragrant mango , also known as ""Black Gold"" mango, has a dark and almost black outer skin with a smooth and shiny appearance  Once cut open, the juicy flesh inside is a bright golden-yellow color and has a firm and slightly fibrous texture "
芒果平均值(新興種),average value of mango (new variety) ,The average value of mango (new variety)  has a vibrant yellow-orange color with a smooth and slightly shiny surface  Its shape is slightly oblong and there is a small stem present at one end 
四季芒果,four seasons mango ,"four seasons mango  has a bright yellowish-orange skin with a slightly greenish tone  Its flesh is juicy and vibrant orange in color, with a smooth and creamy texture "
玉文芒果,jade wenyu mango,"jade wenyu mango has a vibrant yellow-orange color with a smooth skin texture and a slight blush on one side  The flesh is juicy and golden-yellow, and the seed is small, making it easy to eat "
金煌芒果,golden radiance mango ,"golden radiance mango  has a bright golden-yellow color, with a lustrous and smooth skin texture  Its shape is oval and slightly oblong, with a distinct pointed tip at one end "
金蜜芒果,golden honey mango ,"golden honey mango  (Jin Mi Mango) has a vibrant golden-yellow color with a smooth, shiny skin  Its shape is plump and slightly round with a prominent stem "
金興芒果,jinxing mango,jinxing mango has a vibrant golden yellow color with a smooth and blemish-free skin  The fruit is oval-shaped with a slightly curved point at the bottom and has a juicy and fleshy interior 
香水芒果,fragrant water mango ,The fragrant water mango  has a bright yellow-orange skin color that is smooth and shiny  Its flesh is a vibrant orange hue and is often described as being succulent and juicy 
蓮花芒果,lotus flower mango ,"lotus flower mango  has a vibrant orange-yellow color and a distinctive ""lotus"" pattern on its skin, resembling the petals of a lotus flower  The fruit's skin is smooth, shiny, and slightly waxy, while the flesh is juicy and bright orange "
荔枝平均值,average value of lychee ,"average value of lychee  has a bright red color with a bumpy, textured appearance due to its rough, spiky skin "
玉荷苞荔枝,lychee with jade lotus seed ,"lychee with jade lotus seed  has a light brown exterior with small bumps and crevices  When opened, the fruit reveals a translucent, juicy flesh with a bright white color and a small brown pit "
黑葉仔荔枝,black-leaf lychee,"The black-leaf lychee has a dark brown color and a rough, textured exterior skin  Its appearance is that of a small, round fruit, similar to a lychee, with protruding bumps on the surface "
冷凍荔枝,frozen lychee ,frozen lychee  is a pale yellow-colored fruit with a soft and mushy texture due to being frozen  Its appearance may be slightly wrinkled and less vibrant than fresh lychee 
龍眼,longan,"longan is a small, round fruit with a hard, reddish-brown shell that has a rough and textured appearance  When the shell is peeled, the fruit is revealed to have a smooth, translucent white flesh with a dark brown pit in the center "
龍眼乾,dried longan,"Longan fruit, also known as dried longan has a brownish-red exterior with a wrinkled surface  When sliced open, a translucent white flesh with a dark seed in the center is revealed "
帶殼龍眼乾,dried longan with shell,"dried longan with shell, or dried longan with shell, has a dark brown color and wrinkled appearance, with a hard and round shell encasing the soft inner fruit "
李子平均值(青皮黃肉),"plum average (green skin, yellow flesh)","plum average (green skin, yellow flesh) has green skin and yellow flesh  The fruit has a round shape and smooth surface with no evident blemishes "
加州青李,california green plum ,The california green plum  has a greenish-yellow color with a slight tinge of red on the skin  Its appearance is smooth and shiny with a slightly firm texture 
翡翠李,jade litchi,"jade litchi, also known as Jade Cherry, is characterized by its bright green skin and vivid red flesh, creating a striking contrast of colors on the fruit's appearance  Its round shape and smooth texture make it look both enticing and refreshing "
李子平均值(紅皮紅肉),"plum average value (red skin, red flesh)","plum average value (red skin, red flesh) has a vibrant red exterior and a deep red, juicy interior with a smooth texture  The flesh is firm and the skin is slightly glossy, making it a visually appealing fruit "
紅肉李(大),red flesh plum (large),"The red flesh plum (large) has a deep red and burgundy color with a smooth and glossy skin  It is round and plump in appearance, with a firm texture and a small stem "
紅肉李(小),red flesh plum (small),The small red-fleshed plums have a deep red color with a smooth and shiny skin  Their round shape and petite size make them a visually appealing snack or ingredient in dishes 
李子平均值(紅皮黃肉),plum (red skin and yellow flesh),"plum (red skin and yellow flesh) has a bright, vibrant red skin with succulent, golden-yellow flesh, giving it a visually appealing contrast that is sure to catch the eye of any onlooker  Its plump size and evenly-rounded shape add to its pleasant appearance, making it a desirable choice for a variety of culinary uses "
加州紅李(台灣),california red apricot (taiwan),"The California Red Plum from Taiwan has a bright and vibrant reddish-purple color with a smooth and shiny exterior  The shape is round with a slight tapered end and the fruit has a firm, yet juicy texture "
加州紅李(進口),california red plum (imported),"The california red plum (imported) has a bright red skin color with a yellow-orange flesh  Its appearance is smooth and slightly shiny, with a round shape and a small pit in the center "
加州蜜李(進口),california honey plum (imported),"california honey plum (imported) has a deep crimson red color with a smooth and shiny exterior, and a slightly oval shape  The surface has a slightly velvety texture and the flesh is juicy and translucent "
香水李,fragrant water cherry,"fragrant water cherry is a type of Chinese plum that has a bright yellow skin with a reddish-orange blush, giving it a very vibrant appearance  The fruit is also small, round, and slightly flattened, with a smooth and glossy texture "
桃接李(大),peach on top of plum (big),peach on top of plum (big) is a traditional Chinese dessert made with peach and plum  It has a beautiful pinkish-red color with a round shape that resembles a peach 
桃接李(小),peach meets plum (little),"peach meets plum (little) is a dish that features small, reddish-orange peach slices arranged neatly atop diminutive, yellowish-green slices of fragrant li, creating a visually striking color contrast on the plate  The arrangement gives a sense of balance and harmony to the dish's overall appearance, while also highlighting the delicate textures of the fruit "
蜜棗李(進口),imported honey jujube plum ,"imported honey jujube plum  has a deep purple color with a shiny and smooth appearance, and it has a small oval shape with a slightly wrinkled surface "
黃肉李,yellow-meat plum,"yellow-meat plum (yellow flesh plum) has a vibrant yellow color with a smooth, slightly shiny skin  The flesh is firm, juicy, and slightly translucent, with a small pit in the center "
黑李,black plum,"black plum (Hei Li) is a type of black cherry that appears almost jet-black in color and has a shiny, smooth surface  The fruit is small and round with a slightly concave top and a tiny stem at the bottom "
枇杷,loquat,"loquat is a small, round fruit with a golden-yellow skin that is slightly fuzzy  The flesh is also golden-yellow with a soft, pulpy texture and contains several small seeds in the center "
筆柿,persimmon,"persimmon, also known as ""hoshigaki,"" has a light brown color and a wrinkled appearance due to the traditional method of air-drying the persimmons "
甜柿平均值,average value of sweet persimmons ,"average value of sweet persimmons , also known as Fuyu persimmon, has a vibrant orange color that is smooth and shiny on the surface, with a slightly flat shape and a green stem at the top "
富有甜柿(大雪山),sweet persimmon (daxueshan),"sweet persimmon (daxueshan) has a bright orange-red color with a smooth, shiny skin  The fruit is round with a flattened top, and ranges in size from small to medium "
甜柿(進口),sweet persimmon (imported),sweet persimmon (imported) is typically bright orange in color with a smooth and glossy skin  The fruit is round and plump with a slightly flattened top and bottom 
牛心柿,beef heart persimmon,"beef heart persimmon is a red-orange fruit that is heart-shaped with a slightly flat bottom  Its skin is smooth, shiny and vibrant with a green stem at the top "
四周柿,persimmons in syrup ,"persimmons in syrup  is a red-orange persimmon fruit that is oval-shaped with a slightly flattened top  Its skin is smooth and glossy, and the calyx (the stem end) extends outwards forming a star shape "
柿餅,persimmon cake ,"persimmon cake  has a bright orange color and a smooth, shiny appearance due to being dried and molded into a circular shape  It's also slightly sticky to the touch "
水蜜桃平均值,average value of peaches (water honey peach) ,"average value of peaches (water honey peach)  (shuǐ mì táo píng jūn zhí) has a smooth and fuzzy outer skin that ranges from yellow to orange in color, with a prominent blush on the side exposed to sunlight  The fruit is round and slightly flattened with a characteristic crease running from the stem to the bottom "
水蜜桃,peach ,"peach  (shuǐ mì táo) is a fuzzy-skinned fruit with a vibrant orange-pink color, and a round shape with a flattened top and bottom  The flesh of the fruit is juicy and sweet, with a light yellow to pink color "
甜蜜桃,sweet peach ,sweet peach  (sweet peach) has a vibrant orange-pink color with a fuzzy and velvety texture on its skin  Its round shape and plumpness give it a juicy and inviting appearance 
脆桃平均值,average crisp peach,"I apologize, ""average crisp peach"" is not a food that is known to me or searchable on the internet  Can you please provide more information or the English name of the dish?"
白油桃,white oil peach ,"white oil peach , also known as ""White Peach"", has a pale yellow to white color with blushes of pink, and is round in shape with a slightly fuzzy skin  It has green leaves at the top and a small dent at the bottom "
玫瑰桃,rose peach ,"rose peach  is a type of drink with a delicate pink color, reminiscent of rose petals  It is usually served in a clear glass to showcase its beautiful appearance "
福壽桃,"fu shou tao (literally translates to ""peach of happiness and longevity"")","fu shou tao (literally translates to ""peach of happiness and longevity"") is a traditional Chinese pastry that is peach-shaped and colored in a light pink hue, with a small green stem at the top to mimic a real peach  It has a smooth, shiny and slightly firm texture on the outside and a soft, moist filling on the inside "
鶯哥桃,oriole sister peach ,"oriole sister peach  has a vibrant, reddish-pink color with a fuzzy, velvety texture on its skin, and its plump, round shape makes it look juicy and irresistible "
蟠桃,peaches of immortality ,"peaches of immortality , also known as the ""peach of immortality"", has a vibrant and distinct reddish-pink color on its skin with a round and plump appearance, often with a slight indent on the top resembling a belly button "
胭脂梅,yanzhi mei ,"yanzhi mei  has a vibrant red color which resembles rouge, with a smooth and shiny appearance due to its thin skin "
西洋梨平均值,average value of pear ,"average value of pear  has a smooth, yellowish-green skin with occasional brown spots, while its flesh is white and juicy  Its shape is typically ovoid or bell-shaped with a distinctive tapered bottom "
西洋梨(青皮),asian pear (green skin),"The asian pear (green skin) has a pale green skin with a slightly rough texture, and a rounded-oval shape with a slightly pointed end  Its flesh is white and juicy "
西洋梨(紅皮),western pear (red skin),"The western pear (red skin) variety has a vibrant red skin that covers its pear-shaped body  Its flesh is creamy white and juicy, making it a visually appealing and appetizing fruit "
西洋梨(黃皮),yellow-skinned pear ,"The yellow-skinned pear  has a yellowish skin with a smooth and shiny appearance that gives it a fresh and appetizing look  Its shape is usually spherical or oval, with a slightly elongated tip "
幸水梨,lucky water pear ,"lucky water pear  has a bright yellow-green skin with patches of russeting, and a distinctive elongated shape  The flesh is white and juicy, with a fine, grainy texture "
大雪梨,big snow pear ,"big snow pear  has a yellow-green outer skin with a speckled texture, while the inside is a creamy white color with a slightly granular texture "
新世紀梨,new century pear,"new century pear has a smooth, pale yellow skin color with a light green tinge  The fruit is rounded at the base and tapered at the stem end with a slight ridging and russeting "
新興梨,xinxing pear ,"The xinxing pear  has a bright yellow-green color on the outside with small brown dots, while the inside is white and juicy with a grainy texture "
橫山梨,hengshan pear ,"hengshan pear  has a bright green-yellow color on the outside, with a smooth skin and a symmetrical shape  Its flesh is white, juicy, and crunchy, with small brown seeds at the center "
豐水梨,fengshui pear ,"fengshui pear  is a type of pear that has a bright yellow-green skin with a blush of red  It has a round, plump appearance and a smooth, shiny texture "
將軍蜜梨,general's honey pear,"general's honey pear has a light green, slightly speckled skin and a roundish shape with a slightly flattened top  The skin is slightly rough and the flesh is white and juicy "
梨山蜜梨,lishan honey pear ,"lishan honey pear  has a golden-yellow to light brown skin with occasional green areas, a round shape with a slightly flattened top, and an average size of 7-8cm  The surface is covered with small brownish spots and prominent lenticels, while the flesh is white, juicy, and sweet with a pleasant aroma "
印度棗平均值(大),indian jujube (large),"indian jujube (large) is a medium to dark brown, slightly wrinkled and oblong-shaped fruit that measures about 2-3 cm long  It has a firm texture and its appearance is similar to that of a date "
印度棗(長形),indian jujube (long-shaped),"indian jujube (long-shaped) is a long, cylindrical-shaped fruit that has a reddish-brown color with a slightly wrinkled appearance on its skin  The flesh of the fruit is yellowish-orange with a soft and pulpy texture, and it contains a single large seed in the center "
蜜棗(圓形),honey dates (round),"The honey dates (round) is a dark brown, round fruit that has a wrinkled appearance  Its skin is slightly glossy and has a sticky texture due to the natural sugar content "
珍珠蜜棗,pearl honey dates ,"pearl honey dates  are typically dark brown and have a shiny, glazed appearance due to being coated in sugar syrup, giving them an almost jeweled-like quality  The exterior of the dates also appear slightly wrinkled, while the interior contains a chewy pearl-like filling "
台灣土棗,taiwan red dates,Taiwanese date has a dark brown exterior with a slightly wrinkled and soft texture  The interior of the fruit is pale yellow with a small seed in the middle 
紅棗,red dates,"Dried red dates (red dates) have a deep reddish-brown color and a slightly wrinkled appearance, similar to raisins  The skin is also slightly shiny with a smooth texture "
黑棗,black dates ,"black dates  (Hei Zao), also known as black jujube or Chinese black date, has a dark brown to black color and is small in size with a wrinkled and slightly rough texture "
蘋果平均值(青皮),average value of apples (green skin),"The average value of apples (green skin) has a bright green and smooth skin with no visible blemishes, while its flesh is crisp and white with occasional brown spots "
青龍蘋果,qinglong apple ,"The Qinglong apple has a bright green skin that varies in color depth and has a slightly glossy appearance  The flesh is white and crispy, and sometimes has a slight yellow or green hue "
